iter	Passed	Remaining
0	0	88
1	1	78
2	2	75
3	3	73
4	3	70
5	4	71
6	5	71
7	6	69
8	6	68
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	11	62
16	12	61
17	13	60
18	14	59
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	51
29	22	51
30	22	50
31	23	50
32	24	49
33	25	48
34	25	48
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
